"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Quantity","Description"
"4744","Pololu Corporation","2183-4744-ND","","","1","GEARMOTOR 150 RPM 12V METAL"
"1812L110/16DR","Littelfuse Inc.","F3485CT-ND","","","1","PTC RESET FUSE 16V 1.1A 1812"
"SWI25-12-N-P5","CUI Inc.","102-4197-ND","","","1","AC/DC WALL MOUNT ADAPTER 12V 25W"
"PJ-102AH","CUI Devices","CP-102AH-ND","","","1","CONN PWR JACK 2X5.5MM SOLDER"
"RR11131100-214","E-Switch","EG5656-ND","","","1","SWITCH ROCKER SPST 10A 125V"
"3-520276-2","TE Connectivity AMP Connectors","A99878CT-ND","","","3","CONN QC RCPT 14-16AWG 0.187"
"55A0111-14-2","TE Connectivity Aerospace, Defense and Marine","A132381-DS-ND","","","2","HOOK-UP STRND 14AWG RED FEET"
"55A0111-14-0","TE Connectivity Raychem Cable Protection","55A0111-14-DS-ND","","","1","HOOK-UP STRND 14AWG BLK FEET"
